"y","d","h","sap.mm.day"
2007,8,2,NA
2007,8,3,NA
2007,8,4,NA
2007,8,5,NA
2007,8,6,NA
2007,8,7,NA
2007,8,8,NA
2007,8,9,NA
2007,8,10,NA
2007,8,11,NA
2007,8,12,NA
2007,8,13,NA
2007,8,14,NA
2007,8,15,NA
2007,8,16,NA
2007,8,17,NA
2007,8,18,NA
2007,8,19,NA
2007,8,20,NA
2007,8,21,NA
2007,8,22,NA
2007,8,23,NA
2007,8,24,NA
2007,9,1,NA
2007,9,2,NA
2007,9,3,NA
2007,9,4,NA
2007,9,5,NA
2007,9,6,NA
2007,9,7,NA
2007,9,8,NA
2007,9,9,NA
2007,9,10,NA
2007,9,11,NA
2007,9,12,NA
2007,9,13,NA
2007,9,14,NA
2007,9,15,NA
2007,9,16,NA
2007,9,17,NA
2007,9,18,NA
2007,9,19,NA
2007,9,20,NA
2007,9,21,NA
2007,9,22,NA
2007,9,23,NA
2007,9,24,NA
2007,10,1,NA
2007,10,2,NA
2007,10,3,NA
2007,10,4,NA
2007,10,5,NA
2007,10,6,NA
2007,10,7,NA
2007,10,8,NA
2007,10,9,NA
2007,10,10,NA
2007,10,11,NA
2007,10,12,NA
2007,10,13,NA
2007,10,14,NA
2007,10,15,NA
2007,10,16,NA
2007,10,17,NA
2007,10,18,NA
2007,10,19,NA
2007,10,20,NA
2007,10,21,NA
2007,10,22,NA
2007,10,23,NA
2007,10,24,NA
2007,11,1,NA
2007,11,2,NA
2007,11,3,NA
2007,11,4,NA
2007,11,5,NA
2007,11,6,NA
2007,11,7,NA
2007,11,8,NA
2007,11,9,NA
2007,11,10,NA
2007,11,11,NA
2007,11,12,NA
2007,11,13,NA
2007,11,14,NA
2007,11,15,NA
2007,11,16,NA
2007,11,17,NA
2007,11,18,NA
2007,11,19,NA
2007,11,20,NA
2007,11,21,NA
2007,11,22,NA
2007,11,23,NA
2007,11,24,NA
2007,12,1,NA
2007,12,2,NA
2007,12,3,NA
2007,12,4,NA
2007,12,5,NA
2007,12,6,NA
2007,12,7,NA
2007,12,8,NA
2007,12,9,NA
2007,12,10,NA
2007,12,11,NA
2007,12,12,NA
2007,12,13,NA
2007,12,14,NA
2007,12,15,NA
2007,12,16,NA
2007,12,17,NA
2007,12,18,NA
2007,12,19,NA
2007,12,20,NA
2007,12,21,NA
2007,12,22,NA
2007,12,23,NA
2007,12,24,NA
2007,13,1,NA
2007,13,2,NA
2007,13,3,NA
2007,13,4,NA
2007,13,5,NA
2007,13,6,NA
2007,13,7,NA
2007,13,8,NA
2007,13,9,NA
2007,13,10,NA
2007,13,11,NA
2007,13,12,NA
2007,13,13,NA
2007,13,14,NA
2007,13,15,NA
2007,13,16,NA
2007,13,17,NA
2007,13,18,NA
2007,13,19,NA
2007,13,20,NA
2007,13,21,NA
2007,13,22,NA
2007,13,23,NA
2007,13,24,NA
2007,14,1,NA
2007,14,2,NA
2007,14,3,NA
2007,14,4,NA
2007,14,5,NA
2007,14,6,NA
2007,14,7,NA
2007,14,8,NA
2007,14,9,NA
2007,14,10,NA
2007,14,11,NA
2007,14,12,NA
2007,14,13,NA
2007,14,14,NA
2007,14,15,NA
2007,14,16,NA
2007,14,17,NA
2007,14,18,NA
2007,14,19,NA
2007,14,20,NA
2007,14,21,NA
2007,14,22,NA
2007,14,23,NA
2007,14,24,NA
2007,15,1,NA
2007,15,2,NA
2007,15,3,NA
2007,15,4,NA
2007,15,5,NA
2007,15,6,NA
2007,15,7,NA
2007,15,8,NA
2007,15,9,NA
2007,15,10,NA
2007,15,11,NA
2007,15,12,NA
2007,15,13,NA
2007,15,14,NA
2007,15,15,NA
2007,15,16,NA
2007,15,17,NA
2007,15,18,NA
2007,15,19,NA
2007,15,20,NA
2007,15,21,NA
2007,15,22,NA
2007,15,23,NA
2007,15,24,NA
2007,16,1,NA
2007,16,2,NA
2007,16,3,NA
2007,16,4,NA
2007,16,5,NA
2007,16,6,NA
2007,16,7,NA
2007,16,8,NA
2007,16,9,NA
2007,16,10,NA
2007,16,11,NA
2007,16,12,NA
2007,16,13,NA
2007,16,14,NA
2007,16,15,NA
2007,16,16,NA
2007,16,17,NA
2007,16,18,NA
2007,16,19,NA
2007,16,20,NA
2007,16,21,NA
2007,16,22,NA
2007,16,23,NA
2007,16,24,NA
2007,17,1,NA
2007,17,2,NA
2007,17,3,NA
2007,17,4,NA
2007,17,5,NA
2007,17,6,NA
2007,17,7,NA
2007,17,8,NA
2007,17,9,NA
2007,17,10,NA
2007,17,11,NA
2007,17,12,NA
2007,17,13,NA
2007,17,14,NA
2007,17,15,NA
2007,17,16,NA
2007,17,17,NA
2007,17,18,NA
2007,17,19,NA
2007,17,20,NA
2007,17,21,NA
2007,17,22,NA
2007,17,23,NA
2007,17,24,NA
2007,18,1,NA
2007,18,2,NA
2007,18,3,NA
2007,18,4,NA
2007,18,5,NA
2007,18,6,NA
2007,18,7,NA
2007,18,8,NA
2007,18,9,NA
2007,18,10,NA
2007,18,11,NA
2007,18,12,NA
2007,18,13,NA
2007,18,14,NA
2007,18,15,NA
2007,18,16,NA
2007,18,17,NA
2007,18,18,NA
2007,18,19,NA
2007,18,20,NA
2007,18,21,NA
2007,18,22,NA
2007,18,23,NA
2007,18,24,NA
2007,19,1,NA
2007,19,2,NA
2007,19,3,NA
2007,19,4,NA
2007,19,5,NA
2007,19,6,NA
2007,19,7,NA
2007,19,8,NA
2007,19,9,NA
2007,19,10,NA
2007,19,11,NA
2007,19,12,NA
2007,19,13,NA
2007,19,14,NA
2007,19,15,NA
2007,19,16,NA
2007,19,17,NA
2007,19,18,NA
2007,19,19,NA
2007,19,20,NA
2007,19,21,NA
2007,19,22,NA
2007,19,23,NA
2007,19,24,NA
2007,20,1,NA
2007,20,2,NA
2007,20,3,NA
2007,20,4,NA
2007,20,5,NA
2007,20,6,NA
2007,20,7,NA
2007,20,8,NA
2007,20,9,NA
2007,20,10,NA
2007,20,11,NA
2007,20,12,NA
2007,20,13,NA
2007,20,14,NA
2007,20,15,NA
2007,20,16,NA
2007,20,17,NA
2007,20,18,NA
2007,20,19,NA
2007,20,20,NA
2007,20,21,NA
2007,20,22,NA
2007,20,23,NA
2007,20,24,NA
2007,21,1,NA
2007,21,2,NA
2007,21,3,NA
2007,21,4,NA
2007,21,5,NA
2007,21,6,NA
2007,21,7,NA
2007,21,8,NA
2007,21,9,NA
2007,21,10,NA
2007,21,11,NA
2007,21,12,NA
2007,21,13,NA
2007,21,14,NA
2007,21,15,NA
2007,21,16,NA
2007,21,17,NA
2007,21,18,NA
2007,21,19,NA
2007,21,20,NA
2007,21,21,NA
2007,21,22,NA
2007,21,23,NA
2007,21,24,NA
2007,22,1,NA
2007,22,2,NA
2007,22,3,NA
2007,22,4,NA
2007,22,5,NA
2007,22,6,NA
2007,22,7,NA
2007,22,8,NA
2007,22,9,NA
2007,22,10,NA
2007,22,11,NA
2007,22,12,NA
2007,22,13,NA
2007,22,14,NA
2007,22,15,NA
2007,22,16,NA
2007,22,17,NA
2007,22,18,NA
2007,22,19,NA
2007,22,20,NA
2007,22,21,NA
2007,22,22,NA
2007,22,23,NA
2007,22,24,NA
2007,23,1,NA
2007,23,2,NA
2007,23,3,NA
2007,23,4,NA
2007,23,5,NA
2007,23,6,NA
2007,23,7,NA
2007,23,8,NA
2007,23,9,NA
2007,23,10,NA
2007,23,11,NA
2007,23,12,NA
2007,23,13,NA
2007,23,14,NA
2007,23,15,NA
2007,23,16,NA
2007,23,17,NA
2007,23,18,NA
2007,23,19,NA
2007,23,20,NA
2007,23,21,NA
2007,23,22,NA
2007,23,23,NA
2007,23,24,NA
2007,24,1,NA
2007,24,2,NA
2007,24,3,NA
2007,24,4,NA
2007,24,5,NA
2007,24,6,NA
2007,24,7,NA
2007,24,8,NA
2007,24,9,NA
2007,24,10,NA
2007,24,11,NA
2007,24,12,NA
2007,24,13,NA
2007,24,14,NA
2007,24,15,NA
2007,24,16,NA
2007,24,17,NA
2007,24,18,NA
2007,24,19,NA
2007,24,20,NA
2007,24,21,NA
2007,24,22,NA
2007,24,23,NA
2007,24,24,NA
2007,25,1,NA
2007,25,2,NA
2007,25,3,NA
2007,25,4,NA
2007,25,5,NA
2007,25,6,NA
2007,25,7,NA
2007,25,8,NA
2007,25,9,NA
2007,25,10,NA
2007,25,11,NA
2007,25,12,NA
2007,25,13,NA
2007,25,14,NA
2007,25,15,NA
2007,25,16,NA
2007,25,17,NA
2007,25,18,NA
2007,25,19,NA
2007,25,20,NA
2007,25,21,NA
2007,25,22,NA
2007,25,23,NA
2007,25,24,NA
2007,26,1,NA
2007,26,2,NA
2007,26,3,NA
2007,26,4,NA
2007,26,5,NA
2007,26,6,NA
2007,26,7,NA
2007,26,8,NA
2007,26,9,NA
2007,26,10,NA
2007,26,11,NA
2007,26,12,NA
2007,26,13,NA
2007,26,14,NA
2007,26,15,NA
2007,26,16,NA
2007,26,17,NA
2007,26,18,NA
2007,26,19,NA
2007,26,20,NA
2007,26,21,NA
2007,26,22,NA
2007,26,23,NA
2007,26,24,NA
2007,27,1,NA
2007,27,2,NA
2007,27,3,NA
2007,27,4,NA
2007,27,5,NA
2007,27,6,NA
2007,27,7,NA
2007,27,8,NA
2007,27,9,NA
2007,27,10,NA
2007,27,11,NA
2007,27,12,NA
2007,27,13,NA
2007,27,14,NA
2007,27,15,NA
2007,27,16,NA
2007,27,17,NA
2007,27,18,NA
2007,27,19,NA
2007,27,20,NA
2007,27,21,NA
2007,27,22,NA
2007,27,23,NA
2007,27,24,NA
2007,28,1,NA
2007,28,2,NA
2007,28,3,NA
2007,28,4,NA
2007,28,5,NA
2007,28,6,NA
2007,28,7,NA
2007,28,8,NA
2007,28,9,NA
2007,28,10,NA
2007,28,11,NA
2007,28,12,NA
2007,28,13,NA
2007,28,14,NA
2007,28,15,NA
2007,28,16,NA
2007,28,17,NA
2007,28,18,NA
2007,28,19,NA
2007,28,20,NA
2007,28,21,NA
2007,28,22,NA
2007,28,23,NA
2007,28,24,NA
2007,29,1,NA
2007,29,2,NA
2007,29,3,NA
2007,29,4,NA
2007,29,5,NA
2007,29,6,NA
2007,29,7,NA
2007,29,8,NA
2007,29,9,NA
2007,29,10,NA
2007,29,11,NA
2007,29,12,NA
2007,29,13,NA
2007,29,14,NA
2007,29,15,NA
2007,29,16,NA
2007,29,17,NA
2007,29,18,NA
2007,29,19,NA
2007,29,20,NA
2007,29,21,NA
2007,29,22,NA
2007,29,23,NA
2007,29,24,NA
2007,30,1,NA
2007,30,2,NA
2007,30,3,NA
2007,30,4,NA
2007,30,5,NA
2007,30,6,NA
2007,30,7,NA
2007,30,8,NA
2007,30,9,NA
2007,30,10,NA
2007,30,11,NA
2007,30,12,NA
2007,30,13,NA
2007,30,14,NA
2007,30,15,NA
2007,30,16,NA
2007,30,17,NA
2007,30,18,NA
2007,30,19,NA
2007,30,20,NA
2007,30,21,NA
2007,30,22,NA
2007,30,23,NA
2007,30,24,NA
2007,31,1,NA
2007,31,2,NA
2007,31,3,NA
2007,31,4,NA
2007,31,5,NA
2007,31,6,NA
2007,31,7,NA
2007,31,8,NA
2007,31,9,NA
2007,31,10,NA
2007,31,11,NA
2007,31,12,NA
2007,31,13,NA
2007,31,14,NA
2007,31,15,NA
2007,31,16,NA
2007,31,17,NA
2007,31,18,NA
2007,31,19,NA
2007,31,20,NA
2007,31,21,NA
2007,31,22,NA
2007,31,23,NA
2007,31,24,NA
2007,32,1,NA
2007,32,2,NA
2007,32,3,NA
2007,32,4,NA
2007,32,5,NA
2007,32,6,NA
2007,32,7,NA
2007,32,8,NA
2007,32,9,NA
2007,32,10,NA
2007,32,11,NA
2007,32,12,NA
2007,32,13,NA
2007,32,14,NA
2007,32,15,NA
2007,32,16,NA
2007,32,17,NA
2007,32,18,NA
2007,32,19,NA
2007,32,20,NA
2007,32,21,NA
2007,32,22,NA
2007,32,23,NA
2007,32,24,NA
2007,33,1,NA
2007,33,2,NA
2007,33,3,NA
2007,33,4,NA
2007,33,5,NA
2007,33,6,NA
2007,33,7,NA
2007,33,8,NA
2007,33,9,NA
2007,33,10,NA
2007,33,11,NA
2007,33,12,NA
2007,33,13,NA
2007,33,14,NA
2007,33,15,NA
2007,33,16,NA
2007,33,17,NA
2007,33,18,NA
2007,33,19,NA
2007,33,20,NA
2007,33,21,NA
2007,33,22,NA
2007,33,23,NA
2007,33,24,NA
2007,34,1,NA
2007,34,2,NA
2007,34,3,NA
2007,34,4,NA
2007,34,5,NA
2007,34,6,NA
2007,34,7,NA
2007,34,8,NA
2007,34,9,NA
2007,34,10,NA
2007,34,11,NA
2007,34,12,NA
2007,34,13,NA
2007,34,14,NA
2007,34,15,NA
2007,34,16,NA
2007,34,17,NA
2007,34,18,NA
2007,34,19,NA
2007,34,20,NA
2007,34,21,NA
2007,34,22,NA
2007,34,23,NA
2007,34,24,NA
2007,35,1,NA
2007,35,2,NA
2007,35,3,NA
2007,35,4,NA
2007,35,5,NA
2007,35,6,NA
2007,35,7,NA
2007,35,8,NA
2007,35,9,NA
2007,35,10,NA
2007,35,11,NA
2007,35,12,NA
2007,35,13,NA
2007,35,14,NA
2007,35,15,NA
2007,35,16,NA
2007,35,17,NA
2007,35,18,NA
2007,35,19,NA
2007,35,20,NA
2007,35,21,NA
2007,35,22,NA
2007,35,23,NA
2007,35,24,NA
2007,36,1,NA
2007,36,2,NA
2007,36,3,NA
2007,36,4,NA
2007,36,5,NA
2007,36,6,NA
2007,36,7,NA
2007,36,8,NA
2007,36,9,NA
2007,36,10,NA
2007,36,11,NA
2007,36,12,NA
2007,36,13,NA
2007,36,14,NA
2007,36,15,NA
2007,36,16,NA
2007,36,17,NA
2007,36,18,NA
2007,36,19,NA
2007,36,20,NA
2007,36,21,NA
2007,36,22,NA
2007,36,23,NA
2007,36,24,NA
2007,37,1,NA
2007,37,2,NA
2007,37,3,NA
2007,37,4,NA
2007,37,5,NA
2007,37,6,NA
2007,37,7,NA
2007,37,8,NA
2007,37,9,NA
2007,37,10,NA
2007,37,11,NA
2007,37,12,NA
2007,37,13,NA
2007,37,14,NA
2007,37,15,NA
2007,37,16,NA
2007,37,17,NA
2007,37,18,NA
2007,37,19,NA
2007,37,20,NA
2007,37,21,NA
2007,37,22,NA
2007,37,23,NA
2007,37,24,NA
2007,38,1,NA
2007,38,2,NA
2007,38,3,NA
2007,38,4,NA
2007,38,5,NA
2007,38,6,NA
2007,38,7,NA
2007,38,8,NA
2007,38,9,NA
2007,38,10,NA
2007,38,11,NA
2007,38,12,NA
2007,38,13,NA
2007,38,14,NA
2007,38,15,NA
2007,38,16,NA
2007,38,17,NA
2007,38,18,NA
2007,38,19,NA
2007,38,20,NA
2007,38,21,NA
2007,38,22,NA
2007,38,23,NA
2007,38,24,NA
2007,39,1,NA
2007,39,2,NA
2007,39,3,NA
2007,39,4,NA
2007,39,5,NA
2007,39,6,NA
2007,39,7,NA
2007,39,8,NA
2007,39,9,NA
2007,39,10,NA
2007,39,11,NA
2007,39,12,NA
2007,39,13,NA
2007,39,14,NA
2007,39,15,NA
2007,39,16,NA
2007,39,17,NA
2007,39,18,NA
2007,39,19,NA
2007,39,20,NA
2007,39,21,NA
2007,39,22,NA
2007,39,23,NA
2007,39,24,NA
2007,40,1,NA
2007,40,2,NA
2007,40,3,NA
2007,40,4,NA
2007,40,5,NA
2007,40,6,NA
2007,40,7,NA
2007,40,8,NA
2007,40,9,NA
2007,40,10,NA
2007,40,11,NA
2007,40,12,NA
2007,40,13,NA
2007,40,14,NA
2007,40,15,NA
2007,40,16,NA
2007,40,17,NA
2007,40,18,NA
2007,40,19,NA
2007,40,20,NA
2007,40,21,NA
2007,40,22,NA
2007,40,23,NA
2007,40,24,NA
2007,41,1,NA
2007,41,2,NA
2007,41,3,NA
2007,41,4,NA
2007,41,5,NA
2007,41,6,NA
2007,41,7,NA
2007,41,8,NA
2007,41,9,NA
2007,41,10,NA
2007,41,11,NA
2007,41,12,NA
2007,41,13,NA
2007,41,14,NA
2007,41,15,NA
2007,41,16,NA
2007,41,17,NA
2007,41,18,NA
2007,41,19,NA
2007,41,20,NA
2007,41,21,NA
2007,41,22,NA
2007,41,23,NA
2007,41,24,NA
2007,42,1,NA
2007,42,2,NA
2007,42,3,NA
2007,42,4,NA
2007,42,5,NA
2007,42,6,NA
2007,42,7,NA
2007,42,8,NA
2007,42,9,NA
2007,42,10,NA
2007,42,11,NA
2007,42,12,NA
2007,42,13,NA
2007,42,14,NA
2007,42,15,NA
2007,42,16,NA
2007,42,17,NA
2007,42,18,NA
2007,42,19,NA
2007,42,20,NA
2007,42,21,NA
2007,42,22,NA
2007,42,23,NA
2007,42,24,NA
2007,43,1,NA
2007,43,2,NA
2007,43,3,NA
2007,43,4,NA
2007,43,5,NA
2007,43,6,NA
2007,43,7,NA
2007,43,8,NA
2007,43,9,NA
2007,43,10,NA
2007,43,11,NA
2007,43,12,NA
2007,43,13,NA
2007,43,14,NA
2007,43,15,NA
2007,43,16,NA
2007,43,17,NA
2007,43,18,NA
2007,43,19,NA
2007,43,20,NA
2007,43,21,NA
2007,43,22,NA
2007,43,23,NA
2007,43,24,NA
2007,44,1,NA
2007,44,2,NA
2007,44,3,NA
2007,44,4,NA
2007,44,5,NA
2007,44,6,NA
2007,44,7,NA
2007,44,8,NA
2007,44,9,NA
2007,44,10,NA
2007,44,11,NA
2007,44,12,NA
2007,44,13,NA
2007,44,14,NA
2007,44,15,NA
2007,44,16,NA
2007,44,17,NA
2007,44,18,NA
2007,44,19,NA
2007,44,20,NA
2007,44,21,NA
2007,44,22,NA
2007,44,23,NA
2007,44,24,NA
2007,45,1,NA
2007,45,2,NA
2007,45,3,NA
2007,45,4,NA
2007,45,5,NA
2007,45,6,NA
2007,45,7,NA
2007,45,8,NA
2007,45,9,NA
2007,45,10,NA
2007,45,11,NA
2007,45,12,NA
2007,45,13,NA
2007,45,14,NA
2007,45,15,NA
2007,45,16,NA
2007,45,17,NA
2007,45,18,NA
2007,45,19,NA
2007,45,20,NA
2007,45,21,NA
2007,45,22,NA
2007,45,23,NA
2007,45,24,NA
2007,46,1,NA
2007,46,2,NA
2007,46,3,NA
2007,46,4,NA
2007,46,5,NA
2007,46,6,NA
2007,46,7,NA
2007,46,8,NA
2007,46,9,NA
2007,46,10,NA
2007,46,11,NA
2007,46,12,NA
2007,46,13,NA
2007,46,14,NA
2007,46,15,NA
2007,46,16,NA
2007,46,17,NA
2007,46,18,NA
2007,46,19,NA
2007,46,20,NA
2007,46,21,NA
2007,46,22,NA
2007,46,23,NA
2007,46,24,NA
2007,47,1,NA
2007,47,2,NA
2007,47,3,NA
2007,47,4,NA
2007,47,5,NA
2007,47,6,NA
2007,47,7,NA
2007,47,8,NA
2007,47,9,NA
2007,47,10,NA
2007,47,11,NA
2007,47,12,NA
2007,47,13,NA
2007,47,14,NA
2007,47,15,NA
2007,47,16,NA
2007,47,17,NA
2007,47,18,NA
2007,47,19,NA
2007,47,20,NA
2007,47,21,NA
2007,47,22,NA
2007,47,23,NA
2007,47,24,NA
2007,48,1,NA
2007,48,2,NA
2007,48,3,NA
2007,48,4,NA
2007,48,5,NA
2007,48,6,NA
2007,48,7,NA
2007,48,8,NA
2007,48,9,NA
2007,48,10,NA
2007,48,11,NA
2007,48,12,NA
2007,48,13,NA
2007,48,14,NA
2007,48,15,NA
2007,48,16,NA
2007,48,17,NA
2007,48,18,NA
2007,48,19,NA
2007,48,20,NA
2007,48,21,NA
2007,48,22,NA
2007,48,23,NA
2007,48,24,NA
2007,49,1,NA
2007,49,2,NA
2007,49,3,NA
2007,49,4,NA
2007,49,5,NA
2007,49,6,NA
2007,49,7,NA
2007,49,8,NA
2007,49,9,NA
2007,49,10,NA
2007,49,11,NA
2007,49,12,NA
2007,49,13,NA
2007,49,14,NA
2007,49,15,NA
2007,49,16,NA
2007,49,17,NA
2007,49,18,NA
2007,49,19,NA
2007,49,20,NA
2007,49,21,NA
2007,49,22,NA
2007,49,23,NA
2007,49,24,NA
2007,50,1,NA
2007,50,2,NA
2007,50,3,NA
2007,50,4,NA
2007,50,5,NA
2007,50,6,NA
2007,50,7,NA
2007,50,8,NA
2007,50,9,NA
2007,50,10,NA
2007,50,11,NA
2007,50,12,NA
2007,50,13,NA
2007,50,14,NA
2007,50,15,NA
2007,50,16,NA
2007,50,17,NA
2007,50,18,NA
2007,50,19,NA
2007,50,20,NA
2007,50,21,NA
2007,50,22,NA
2007,50,23,NA
2007,50,24,NA
2007,51,1,NA
2007,51,2,NA
2007,51,3,NA
2007,51,4,NA
2007,51,5,NA
2007,51,6,NA
2007,51,7,NA
2007,51,8,NA
2007,51,9,NA
2007,51,10,NA
2007,51,11,NA
2007,51,12,NA
2007,51,13,NA
2007,51,14,NA
2007,51,15,NA
2007,51,16,NA
2007,51,17,NA
2007,51,18,NA
2007,51,19,NA
2007,51,20,NA
2007,51,21,NA
2007,51,22,NA
2007,51,23,NA
2007,51,24,NA
2007,52,1,NA
2007,52,2,NA
2007,52,3,NA
2007,52,4,NA
2007,52,5,NA
2007,52,6,NA
2007,52,7,NA
2007,52,8,NA
2007,52,9,NA
2007,52,10,NA
2007,52,11,NA
2007,52,12,NA
2007,52,13,NA
2007,52,14,NA
2007,52,15,NA
2007,52,16,NA
2007,52,17,NA
2007,52,18,NA
2007,52,19,NA
2007,52,20,NA
2007,52,21,NA
2007,52,22,NA
2007,52,23,NA
2007,52,24,NA
2007,53,1,NA
2007,53,2,NA
2007,53,3,NA
2007,53,4,NA
2007,53,5,NA
2007,53,6,NA
2007,53,7,NA
2007,53,8,NA
2007,53,9,NA
2007,53,10,NA
2007,53,11,NA
2007,53,12,NA
2007,53,13,NA
2007,53,14,NA
2007,53,15,NA
2007,53,16,NA
2007,53,17,NA
2007,53,18,NA
2007,53,19,NA
2007,53,20,NA
2007,53,21,NA
2007,53,22,NA
2007,53,23,NA
2007,53,24,NA
2007,54,1,NA
2007,54,2,NA
2007,54,3,NA
2007,54,4,NA
2007,54,5,NA
2007,54,6,NA
2007,54,7,NA
2007,54,8,NA
2007,54,9,NA
2007,54,10,NA
2007,54,11,NA
2007,54,12,NA
2007,54,13,NA
2007,54,14,NA
2007,54,15,NA
2007,54,16,NA
2007,54,17,NA
2007,54,18,NA
2007,54,19,NA
2007,54,20,NA
2007,54,21,NA
2007,54,22,NA
2007,54,23,NA
2007,54,24,NA
2007,55,1,NA
2007,55,2,NA
2007,55,3,NA
2007,55,4,NA
2007,55,5,NA
2007,55,6,NA
2007,55,7,NA
2007,55,8,NA
2007,55,9,NA
2007,55,10,NA
2007,55,11,NA
2007,55,12,NA
2007,55,13,NA
2007,55,14,NA
2007,55,15,NA
2007,55,16,NA
2007,55,17,NA
2007,55,18,NA
2007,55,19,NA
2007,55,20,NA
2007,55,21,NA
2007,55,22,NA
2007,55,23,NA
2007,55,24,NA
2007,56,1,NA
2007,56,2,NA
2007,56,3,NA
2007,56,4,NA
2007,56,5,NA
2007,56,6,NA
2007,56,7,NA
2007,56,8,NA
2007,56,9,NA
2007,56,10,NA
2007,56,11,NA
2007,56,12,NA
2007,56,13,NA
2007,56,14,NA
2007,56,15,NA
2007,56,16,NA
2007,56,17,NA
2007,56,18,NA
2007,56,19,NA
2007,56,20,NA
2007,56,21,NA
2007,56,22,NA
2007,56,23,NA
2007,56,24,NA
2007,57,1,NA
2007,57,2,NA
2007,57,3,NA
2007,57,4,NA
2007,57,5,NA
2007,57,6,NA
2007,57,7,NA
2007,57,8,NA
2007,57,9,NA
2007,57,10,NA
2007,57,11,NA
2007,57,12,NA
2007,57,13,NA
2007,57,14,NA
2007,57,15,NA
2007,57,16,NA
2007,57,17,NA
2007,57,18,NA
2007,57,19,NA
2007,57,20,NA
2007,57,21,NA
2007,57,22,NA
2007,57,23,NA
2007,57,24,NA
2007,58,1,NA
2007,58,2,NA
2007,58,3,NA
2007,58,4,NA
2007,58,5,NA
2007,58,6,NA
2007,58,7,NA
2007,58,8,NA
2007,58,9,NA
2007,58,10,NA
2007,58,11,NA
2007,58,12,NA
2007,58,13,NA
2007,58,14,NA
2007,58,15,NA
2007,58,16,NA
2007,58,17,NA
2007,58,18,NA
2007,58,19,NA
2007,58,20,NA
2007,58,21,NA
2007,58,22,NA
2007,58,23,NA
2007,58,24,NA
2007,59,1,NA
2007,59,2,NA
2007,59,3,NA
2007,59,4,NA
